Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
SingleQuestion,What is the name of the solid material that forms part of the earth and other similar planets?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,chalk,,,
,,,,,,racket,,,
,,,,,,rope,,,
,,,,,,glue,,,
,,,,,,rock,,,1
,,,,,,,,,
SingleQuestion,Which ocean is the largest in the world?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Red Sea,,,
,,,,,,River Jordan,,,
,,,,,,Indian Ocean,,,
,,,,,,Pacific Ocean,,,1
,,,,,,River Niger and Benue,,,
,,,,,,,,,
SingleQuestion,Man generates _______ energy from sunshine.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,rainfall,,,
,,,,,,PHCN,,,
,,,,,,solar,,,1
,,,,,,power,,,
,,,,,,natural,,,
,,,,,,,,,
SingleQuestion,What is the swirling of dust particles by wind in a very violent manner called?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,rainfall,,,
,,,,,,tornado,,,1
,,,,,,snow,,,
,,,,,,harmattan,,,
,,,,,,heat,,,
,,,,,,,,,
SingleQuestion,"Which of the following refers to the contamination of streams, ponds, rivers and seas?",,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,air pollution,,,
,,,,,,flood,,,
,,,,,,water pollution,,,1
,,,,,,odour,,,
,,,,,,dirt,,,
,,,,,,,,,
SingleQuestion,Which of the following occurs when the desert expands into a land that was previously fertile with crops and trees?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,forest,,,
,,,,,,poultry farming,,,
,,,,,,garden,,,
,,,,,,desert encroachment,,,1
,,,,,,sea encroachment,,,
,,,,,,,,,
SingleQuestion,The longest river in Nigeria is called _____.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,River Nile,,,
,,,,,,River Oshodi,,,
,,,,,,River Niger,,,1
,,,,,,Cross River,,,
,,,,,,Jabi Lake,,,
,,,,,,,,,
SingleQuestion,The following are examples of lakes in Nigeria except __________.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Chad,,,
,,,,,,Oguta,,,
,,,,,,Nike,,,
,,,,,,Ibadan,,,1
,,,,,,Jabi,,,
,,,,,,,,,
SingleQuestion,People in riverine areas like Oron are predominantly ________.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,singers,,,
,,,,,,salesmen,,,
,,,,,,fishermen,,,1
,,,,,,pepper sellers,,,
,,,,,,dancers,,,
,,,,,,,,,
SingleQuestion,Which of the following is an example of a dam in Nigeria?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Silver Bird,,,
,,,,,,Apapa,,,
,,,,,,Tinapa,,,
,,,,,,Shiroro,,,1
,,,,,,Suncity,,,
,,,,,,,,,
SingleQuestion,"A ___________ is a sandy, dry land.",,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Pond,,,
,,,,,,Beach,,,
,,,,,,Desert,,,1
,,,,,,Farm,,,
,,,,,,Swamp,,,
,,,,,,,,,
SingleQuestion,"In northern part of Nigeria, like Kano and Katsina, the people there are mostly _____.",,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,herdsmen,,,1
,,,,,,fishermen,,,
,,,,,,birdsmen,,,
,,,,,,bread men,,,
,,,,,,head men,,,
,,,,,,,,,
SingleQuestion,The word ‘social’ refers to ______.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,man’s intolerance ,,,
,,,,,,new dresses,,,
,,,,,,how people study the moon,,,
,,,,,,where and how people live and relate to each other,,,1
,,,,,,new planetary discoveries ,,,
,,,,,,,,,
SingleQuestion,Social Studies help people to acquire all BUT _______________ skill.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,observation ,,,
,,,,,,listening,,,
,,,,,,stealing,,,1
,,,,,,analytic skills,,,
,,,,,,group working skills ,,,
,,,,,,,,,
SingleQuestion,Which of these is not true?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Man influences his environment,,,
,,,,,,Man has no influence on his environment,,,1
,,,,,,Man’s environment influences him,,,
,,,,,,Man is a social being,,,
,,,,,,Man’s studies his environment to proffer solutions to problems.,,,
,,,,,,,,,
SingleQuestion,Which option is not true?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Social Studies is relevant to the society,,,
,,,,,,New discoveries are excluded from social studies,,,1
,,,,,,Social studies attempt to provide solutions to man’s problems,,,
,,,,,,Scientific discoveries are included in social studies,,,
,,,,,,Social Studies has a wide scope,,,
,,,,,,,,,
SingleQuestion,The history of Social Studies started from _____ to other parts of the world.                                    ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,USA   ,,,1
,,,,,,Africa       ,,,
,,,,,,Nigeria      ,,,
,,,,,,India.,,,
,,,,,,Ghana ,,,
,,,,,,,,,
SingleQuestion,Nigeria developed Social Studies as a subject in the early 70s during the time of General ____.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Murtala Mohammed           ,,,
,,,,,,Aguiyi Ironsi   ,,,
,,,,,,Ibrahim Babangida  ,,,
,,,,,,Muhammadu Buhari              ,,,
,,,,,,Yakubu Gowon.,,,1
,,,,,,,,,
SingleQuestion,Which of the following is an objective of Social Studies?               ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Free lunch for all students in JSS 1     ,,,
,,,,,,Creating a free and democratic society  ,,,1
,,,,,,Training students to become truck pushers,,,
,,,,,,Giving citizens the freedom to discriminate,,,
,,,,,,Teaching intolerance ,,,
,,,,,,,,,
SingleQuestion,The study of man’s interaction with his environments and the use of his knowledge of science and technology to solve problems in the environments are known as ______.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Sociology                  ,,,
,,,,,,Environmental Studies        ,,,
,,,,,,Social Studies                     ,,,1
