Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
SingleQuestion,A society characterized of integrity is bound to be a society where people are treated _____.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,harshly,,,
,,,,,,disrespectfully,,,
,,,,,,fairly and equally,,,1
,,,,,,criminally,,,
,,,,,,negatively,,,
,,,,,,,,,
SingleQuestion,Which of the following is not an attribute of contentment?                          ,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,satisfaction ,,,
,,,,,,greed ,,,1
,,,,,,abhorrence of greed,,,
,,,,,,lack of envy,,,
,,,,,,options b and c,,,
,,,,,,,,,
SingleQuestion,"Children, young adults and adults are able to acquire the knowledge, skills and characters needed for effective democratic citizenship and the overall development of the state through ________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,violence,,,
,,,,,,food and nutrition   ,,,
,,,,,,farming,,,
,,,,,,Civic Education,,,1
,,,,,,  gossiping ,,,
,,,,,,,,,
SingleQuestion,"We can avoid fraud, cheating and crookedness through ________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,cheating ,,,
,,,,,,contentment,,,1
,,,,,,vandalism      ,,,
,,,,,,laziness,,,
,,,,,,all of the above,,,
,,,,,,,,,
SingleQuestion,Negative behaviours in the society are all of these EXCEPT ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,child trafficking   ,,,
,,,,,,contentment  ,,,1
,,,,,,disregard for constituted authority ,,,
,,,,,,envy,,,
,,,,,,truancy ,,,
,,,,,,,,,
SingleQuestion,Contentment is the opposite of ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,honesty,,,
,,,,,,courage,,,
,,,,,,arrogance,,,
,,,,,,disobedience,,,
,,,,,,greed.,,,1
,,,,,,,,,
SingleQuestion,The strong feeling of love and respect people have for their nation or country is termed ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,patriotism,,,1
,,,,,,individualism,,,
,,,,,,judiciary,,,
,,,,,,compassion,,,
,,,,,,hatred ,,,
,,,,,,,,,
SingleQuestion,Which of the following is NOT an attribute of courage?,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,commitment ,,,
,,,,,,endurance,,,
,,,,,,hope,,,
,,,,,,bravery,,,
,,,,,,fear,,,1
,,,,,,,,,
SingleQuestion,The ability to bear prolonged hardship or pain is known as ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,endurance,,,1
,,,,,,cooperation,,,
,,,,,,harmony,,,
,,,,,,diligence,,,
,,,,,,punctuality,,,
,,,,,,,,,
SingleQuestion,"To have a wish to get or do something or for something to happen or be true, especially something that seems possible or likely is known as _________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,blessing,,,
,,,,,,hope,,,1
,,,,,,kindness,,,
,,,,,,impossibility,,,
,,,,,,adaptation,,,
,,,,,,,,,
SingleQuestion,Courage enables us to ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,work less,,,
,,,,,,become lazy,,,
,,,,,,work harder,,,1
,,,,,,give up easily,,,
,,,,,,discourage others,,,
,,,,,,,,,
SingleQuestion,Courage enables us to do the right things _______ to get good results.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,sometimes,,,
,,,,,,most times,,,
,,,,,,when convenient,,,
,,,,,,at all times,,,1
,,,,,,only when we are happy,,,
,,,,,,,,,
SingleQuestion,Which of the following is NOT a social benefit of honesty?,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,mutual trust and confidence,,,
,,,,,,high level of cooperation,,,
,,,,,,peaceful coexistence,,,
,,,,,,destruction of lives and property,,,1
,,,,,,high level of social amenities,,,
,,,,,,,,,
SingleQuestion,A dishonest person is a person who is known for ____ and deceit.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,goodness,,,
,,,,,,truthfulness,,,
,,,,,,faithfulness,,,
,,,,,,justice,,,
,,,,,,falsehood,,,1
,,,,,,,,,
SingleQuestion,A dishonest person______.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,lies to people,,,1
,,,,,,tells the truth,,,
,,,,,,always does the right thing,,,
,,,,,,does not cheat others,,,
,,,,,,does not steal,,,
,,,,,,,,,
SingleQuestion,Keeping criminals off the street is a benefit of ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,discussing crimes ,,,
,,,,,,insulting criminals ,,,
,,,,,,promoting violence ,,,
,,,,,,reporting crimes,,,1
,,,,,,showing concern,,,
,,,,,,,,,
SingleQuestion,"In being security conscious, it is important to avoid ________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,busy areas,,,
,,,,,,populated areas,,,
,,,,,,isolated areas,,,1
,,,,,,new environments,,,
,,,,,,large areas,,,
,,,,,,,,,
SingleQuestion,Adherence to a high moral code is known as ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,contentment,,,
,,,,,,courage,,,
,,,,,,punctuality,,,
,,,,,,integrity,,,1
,,,,,,indiscipline,,,
,,,,,,,,,
SingleQuestion,One of the following may be considered a crime that affects national security ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,drug misuse ,,,
,,,,,,drug trafficking ,,,1
,,,,,,class disruption ,,,
,,,,,,students’ misdemeanor,,,
,,,,,,shouting at home,,,
,,,,,,,,,
SingleQuestion,The state of being satisfied with what one has may best be referred to as ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
